mol_index,bit_id,description
149,1,Bit 1: substructure detected but no common functional groups matched
150,1,Bit 1: no substructure found
151,1,Bit 1: no substructure found
152,1,Bit 1: no substructure found
153,1,Bit 1: substructure detected but no common functional groups matched
154,1,Bit 1: no substructure found
155,1,Bit 1: no substructure found
156,1,Bit 1: no substructure found
157,1,Bit 1: substructure detected but no common functional groups matched
158,1,Bit 1: no substructure found
159,1,Bit 1: no substructure found
160,1,Bit 1: no substructure found
161,1,Bit 1: substructure detected but no common functional groups matched
162,1,Bit 1: substructure detected but no common functional groups matched
163,1,Bit 1: no substructure found
164,1,Bit 1: substructure detected but no common functional groups matched
165,1,Bit 1: no substructure found
166,1,Bit 1: no substructure found
167,1,Bit 1: no substructure found
168,1,Bit 1: substructure detected but no common functional groups matched
169,1,Bit 1: substructure detected but no common functional groups matched
170,1,Bit 1: substructure detected but no common functional groups matched
171,1,Bit 1: no substructure found
172,1,Bit 1: no substructure found
173,1,Bit 1: no substructure found
174,1,Bit 1: no substructure found
175,1,Bit 1: no substructure found
176,1,Bit 1: no substructure found
177,1,Bit 1: no substructure found
178,1,Bit 1: no substructure found
179,1,Bit 1: no substructure found
180,1,Bit 1: no substructure found
181,1,Bit 1: no substructure found
182,1,Bit 1: substructure detected but no common functional groups matched
183,1,Bit 1: no substructure found
184,1,Bit 1: no substructure found
185,1,Bit 1: no substructure found
186,1,Bit 1: substructure detected but no common functional groups matched
187,1,Bit 1: no substructure found
188,1,Bit 1: substructure detected but no common functional groups matched
189,1,Bit 1: no substructure found
190,1,Bit 1: no substructure found
191,1,Bit 1: substructure detected but no common functional groups matched
192,1,Bit 1: no substructure found
193,1,Bit 1: substructure detected but no common functional groups matched
194,1,Bit 1: no substructure found
195,1,Bit 1: no substructure found
196,1,Bit 1: no substructure found
197,1,Bit 1: no substructure found
0,2,Bit 2: no substructure found
1,2,Bit 2: no substructure found
2,2,Bit 2: no substructure found
3,2,Bit 2: no substructure found
4,2,Bit 2: no substructure found
5,2,Bit 2: no substructure found
6,2,Bit 2: no substructure found
7,2,Bit 2: no substructure found
8,2,Bit 2: no substructure found
9,2,Bit 2: substructure detected but no common functional groups matched
10,2,Bit 2: no substructure found
11,2,Bit 2: no substructure found
12,2,Bit 2: no substructure found
13,2,Bit 2: no substructure found
14,2,Bit 2: no substructure found
15,2,Bit 2: no substructure found
16,2,Bit 2: no substructure found
17,2,Bit 2: no substructure found
18,2,Bit 2: no substructure found
19,2,Bit 2: no substructure found
20,2,Bit 2: no substructure found
21,2,Bit 2: no substructure found
22,2,Bit 2: no substructure found
23,2,Bit 2: no substructure found
24,2,Bit 2: no substructure found
25,2,Bit 2: substructure detected but no common functional groups matched
26,2,Bit 2: no substructure found
27,2,Bit 2: no substructure found
28,2,Bit 2: no substructure found
29,2,Bit 2: no substructure found
30,2,Bit 2: no substructure found
31,2,Bit 2: no substructure found
32,2,Bit 2: no substructure found
33,2,Bit 2: no substructure found
34,2,Bit 2: no substructure found
35,2,Bit 2: no substructure found
36,2,Bit 2: no substructure found
37,2,Bit 2: no substructure found
38,2,Bit 2: no substructure found
